id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
59258000,499000.0,APARTMENT,PENTHOUSE,Wallonia,Walloon Brabant,Nivelles,1420,50.6822689,4.3759657,2024.0,139.0,,4.0,3.0,MISSING,0,0,1,32.0,0,0.0,0,0,GOOD,,A,MISSING,1,1.0
15960000,355000.0,APARTMENT,APARTMENT,Wallonia,Liège,Liège,4000,50.6367241,5.5696057,,107.0,,,2.0,NOT_INSTALLED,0,0,1,4.0,0,0.0,0,1,MISSING,,B,GAS,1,
76829000,338900.0,HOUSE,HOUSE,Flanders,West Flanders,Oostend,8433,51.1264278,2.8761773,2024.0,,0.0,2.0,3.0,MISSING,0,0,1,1.0,1,1.0,0,1,AS_NEW,,MISSING,MISSING,0,
10735000,373500.0,APARTMENT,APARTMENT,Flanders,Flemish Brabant,Leuven,3111,50.9469557,4.7504382,1958.0,124.0,,2.0,2.0,MISSING,0,0,1,,0,0.0,0,0,GOOD,102.0,B,GAS,1,
76429000,345000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2000,,,1899.0,70.0,,,1.0,MISSING,0,0,0,0.0,0,0.0,0,1,AS_NEW,121.0,B,MISSING,0,562.0
23993000,199000.0,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2170,51.2482297,4.4378206,1979.0,85.0,,3.0,1.0,INSTALLED,0,0,1,12.0,0,0.0,0,1,GOOD,279.0,C,GAS,1,652.0
41116000,725000.0,HOUSE,HOUSE,Flanders,Limburg,Hasselt,3690,50.9201837,5.6054708,1999.0,412.0,2611.0,4.0,5.0,MISSING,0,0,1,,0,0.0,0,0,GOOD,181.0,B,FUELOIL,1,1715.0
4406000,135000.0,APARTMENT,APARTMENT,Flanders,East Flanders,Gent,9051,51.0236314,3.6944542,1996.0,63.0,,2.0,1.0,NOT_INSTALLED,0,1,1,,0,0.0,0,0,GOOD,373.0,D,ELECTRIC,0,
14809000,2295000.0,APARTMENT,APARTMENT,Flanders,West Flanders,Brugge,8300,51.3535678,3.2905412,1964.0,110.0,,2.0,3.0,USA_HYPER_EQUIPPED,0,0,1,,0,0.0,0,0,AS_NEW,89.0,A,GAS,1,
40239000,295000.0,HOUSE,HOUSE,Wallonia,Hainaut,Mons,7300,50.4013878,3.8140077,,329.0,1206.0,3.0,4.0,MISSING,0,0,1,41.0,1,977.0,0,1,GOOD,321.0,D,GAS,1,
52978000,255000.0,HOUSE,HOUSE,Flanders,Flemish Brabant,Leuven,3300,50.8072405,4.9416652,1918.0,169.0,120.0,2.0,3.0,MISSING,0,0,0,0.0,1,120.0,0,0,MISSING,314.0,D,GAS,1,416.0
68304000,406400.0,HOUSE,HOUSE,Flanders,Antwerp,Turnhout,2450,51.1280028,5.0765001,2023.0,156.0,450.0,4.0,3.0,MISSING,0,0,0,0.0,0,0.0,0,1,GOOD,,MISSING,MISSING,1,
